此段落最初的2-5句話,此段落最末的2-5句話,段落大意
正奔馳間，忽聽得馬蹄聲大作，前面塵頭飛揚，一大隊人馬疾馳而來。,頃刻間也射死了十來名契丹騎士，但寡不敵眾，邊射邊逃。,打熊途中遇到契丹人，他們什麼話也沒說便要動手殺人，阿骨打等人只好應戰。
蕭峰見這些契丹人蠻不講理，雖說是自己族人，卻也顧不得了。,將射來的兵刃一一拔開，步履如飛，直搶到那紅袍人馬前。,蕭峯見契丹人蠻不講理，便要出手，只有擒住首領，契丹人才不敢繼續殺人。
那紅袍人滿腮虯髯，神情威武，見蕭峰攻來，竟毫不驚慌，,紅袍人叫道：「你們退開，大家後退！」眾人勒馬向後退了幾步，但仍不肯就此離去。,蕭峯抓了契丹首領紅袍人，威脅要將他一掌打死，紅袍人急忙令眾人後退。
蕭峰尋思：「這一帶都是平原曠野，倘若放了他們首領，這些契丹人騎馬追來，終究不能逃脫。」,眾武士齊聲道：「遵命！」一齊躬身。,蕭峯叫紅袍人讓他們送八匹馬來，並把其餘的馬都殺掉，還令他們都不准追來。
蕭峰掉轉馬頭，等阿骨打等六人都上了馬，一行人循東來原路急馳而回。,不料那紅袍人竟不躊躇，一口答允：「好，就這麼辦！」,蕭峯和阿骨打等人帶著紅袍人一同回到族營，族人要以紅袍人換去贖金，紅袍人竟一口答允。
帳中一干女真人聽了都大吃一驚，幾乎不相信自己的耳朵。,契丹人雖鬥你不過，骨氣卻跟你一般硬朗。」,女真人大吃一驚，想之其身分，但紅袍人不說，且骨氣硬朗。
蕭峰哈哈大笑，道：「好，好！我不在這裡殺你。,蕭某交了你這個朋友！你回自族去吧。」,蕭峯敬其是個好漢，便將他放了回去。
紅袍人大吃一驚，問道：「什……什麼？」,「蕭英雄，你說是我契丹族人，又口口聲聲當我是朋友，我跟你結義為兄弟，如何？」,紅袍人驚訝蕭峯拿他當朋友，覺著蕭峯是個好人，便要與他結拜。
蕭峰藝成以後，便即入了丐幫。,阿骨打也是個大有見識的英雄，對蕭峰的輕財重義、豁達大度，深為讚歎。,蕭峯與紅袍人-耶律基，兩人結拜，蕭峯說他也是契丹人，紅袍人要蕭峯跟他一起走，蕭峯婉拒，阿骨打前來接應，更加欽佩蕭峯。
一日，蕭峰和阿骨打閒談，說起阿紫所以受傷，,隔不了幾天便去弄一兩副新鮮熊膽來給阿紫服下，卻也決難辦到。,阿骨打建議蕭峯以虎筋、虎骨、熊膽為阿紫醫治。
這一日，他正在帳前熬虎筋虎骨膏藥，一名女真人匆匆過來，,室裡道：「主人再三囑咐，蕭大爺要是客氣不受，小人回去必受重罰。」,一日耶律基命隊長室里送來許多禮物，比之前說好的贖金還多上好幾倍，並說主人再三囑咐要蕭峯全收下。
忽聽得號角聲嗚嗚吹起，各處營帳中的女真人執了刀槍弓箭，紛紛奔來。,全族大宴數日，人人都感激蕭峰。,忽然聽到女真人說敵人來襲，室里連忙解釋那是要送來的牛羊馬匹，女真族人人都感激蕭峯。
夏去秋來，阿紫的病又好了幾分。,當下回去預備馬匹、車輛、帳幕、乾糧等物。,阿紫已好了大半，蕭峯常帶他出去看風景，阿紫希望能去看看大海，蕭峯收拾行李。
次日一早，兩人便即西行。,草叢間諸般小獸甚多，蕭峰隨獵隨食，無憂無慮。,兩人次日一早便出發，一路上談談說說，隨獵隨食，無憂無慮。
又行數日，這日午間，遠遠望見前面豎立著無數營帳，又有旌旗旄節,偶有一頭鹿從行列空隙中逸出，便有一小隊出來追趕，兜個圈子，又將那鹿逼了回去。,又行數日，發現有無數營帳，蕭峯不想多惹麻煩，阿紫卻想去瞧瞧熱鬧，蕭峯帶他過去便看到是契丹人在圍獵，見到他二人也不加理會。
